"","County","State","Population"
"3089","Monroe County","Wisconsin",46253
"3090","Oconto County","Wisconsin",37930
"3091","Oneida County","Wisconsin",35595
"3092","Outagamie County","Wisconsin",187885
"3093","Ozaukee County","Wisconsin",89221
"3094","Pepin County","Wisconsin",7287
"3095","Pierce County","Wisconsin",42754
"3096","Polk County","Wisconsin",43783
"3097","Portage County","Wisconsin",70772
"3098","Price County","Wisconsin",13351
"3099","Racine County","Wisconsin",196311
"3100","Richland County","Wisconsin",17252
"3101","Rock County","Wisconsin",163354
"3102","Rusk County","Wisconsin",14178
"3103","St. Croix County","Wisconsin",90687
"3104","Sauk County","Wisconsin",64442
"3105","Sawyer County","Wisconsin",16558
"3106","Shawano County","Wisconsin",40899
"3107","Sheboygan County","Wisconsin",115340
"3108","Taylor County","Wisconsin",20343
"3109","Trempealeau County","Wisconsin",29649
"3110","Vernon County","Wisconsin",30822
"3111","Vilas County","Wisconsin",22195
"3112","Walworth County","Wisconsin",103868
"3113","Washburn County","Wisconsin",15720
"3114","Washington County","Wisconsin",136034
"3115","Waukesha County","Wisconsin",404198
"3116","Waupaca County","Wisconsin",50990
"3117","Waushara County","Wisconsin",24443
"3118","Winnebago County","Wisconsin",171907
"3119","Wood County","Wisconsin",72999
"3120","Albany County","Wyoming",38880
"3121","Big Horn County","Wyoming",11790
"3122","Campbell County","Wyoming",46341
"3123","Carbon County","Wyoming",14800
"3124","Converse County","Wyoming",13822
"3125","Crook County","Wyoming",7584
"3126","Fremont County","Wyoming",39261
"3127","Goshen County","Wyoming",13211
"3128","Hot Springs County","Wyoming",4413
"3129","Johnson County","Wyoming",8445
"3130","Laramie County","Wyoming",99500
"3131","Lincoln County","Wyoming",19830
"3132","Natrona County","Wyoming",79858
"3133","Niobrara County","Wyoming",2356
"3134","Park County","Wyoming",29194
"3135","Platte County","Wyoming",8393
"3136","Sheridan County","Wyoming",30485
"3137","Sublette County","Wyoming",9831
"3138","Sweetwater County","Wyoming",42343
"3139","Teton County","Wyoming",23464
"3140","Uinta County","Wyoming",20226
"3141","Washakie County","Wyoming",7805
"3142","Weston County","Wyoming",6927
